Input File: cm000.78d
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 201
Start Freq.: 100 kHz
Stop  Freq.: 1 kHz
Sweep Type: Log
Auto Level: Off
Amplitude:  20.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   101.56 ms
Integration Cycles:  100

    X[Hz]         Mag[dB]         P[deg]     
  1.258925e+04   5.982295e+00  -1.107627e+02 
  1.288250e+04   5.742845e+00  -1.108377e+02 
  1.318257e+04   5.480270e+00  -1.111940e+02 
  1.348963e+04   5.461594e+00  -1.101868e+02 
  1.380384e+04   5.415774e+00  -1.101993e+02 
  1.412538e+04   5.206154e+00  -1.100564e+02 
  1.445440e+04   5.002679e+00  -1.094548e+02 
  1.479108e+04   4.854182e+00  -1.096554e+02 
  1.513561e+04   4.708746e+00  -1.091587e+02 
  1.548817e+04   4.522832e+00  -1.085795e+02 
  1.584893e+04   4.450790e+00  -1.089360e+02 
  1.621810e+04   4.203166e+00  -1.085191e+02 
  1.659587e+04   4.144990e+00  -1.088058e+02 
  1.698244e+04   3.990400e+00  -1.088909e+02 
  1.737801e+04   3.798627e+00  -1.089675e+02 
  1.778279e+04   3.753812e+00  -1.087657e+02 
  1.819701e+04   3.578428e+00  -1.095534e+02 
  1.862087e+04   3.431859e+00  -1.090257e+02 
  1.905461e+04   3.376927e+00  -1.094830e+02 
  1.949845e+04   3.233038e+00  -1.097534e+02 
  1.995262e+04   3.114235e+00  -1.099481e+02 
  2.041738e+04   3.043892e+00  -1.098644e+02 
  2.089296e+04   2.877506e+00  -1.109422e+02 
  2.137962e+04   2.698985e+00  -1.107434e+02 
  2.187762e+04   2.532679e+00  -1.118162e+02 
  2.238721e+04   2.298575e+00  -1.117094e+02 
  2.290868e+04   2.303650e+00  -1.121509e+02 
  2.344229e+04   2.160620e+00  -1.129404e+02 
  2.398833e+04   2.104186e+00  -1.135019e+02 
  2.454709e+04   1.965865e+00  -1.139529e+02 
  2.511887e+04   1.795371e+00  -1.147325e+02 
  2.570396e+04   1.798577e+00  -1.150608e+02 
  2.630268e+04   1.617490e+00  -1.161932e+02 
  2.691535e+04   1.498144e+00  -1.167883e+02 
  2.754229e+04   1.389260e+00  -1.174061e+02 
  2.818383e+04   1.366083e+00  -1.188894e+02 
  2.884031e+04   1.196555e+00  -1.197998e+02 
  2.951209e+04   1.021857e+00  -1.209009e+02 
  3.019952e+04   8.299047e-01  -1.221353e+02 
  3.090296e+04   7.573707e-01  -1.225249e+02 
  3.162278e+04   7.127864e-01  -1.240176e+02 
  3.235937e+04   5.323178e-01  -1.251236e+02 
  3.311311e+04   4.030541e-01  -1.276276e+02 
  3.388441e+04   1.609780e-01  -1.273499e+02 
  3.467368e+04   1.000899e-02  -1.295448e+02 
  3.548134e+04  -1.528202e-01  -1.316196e+02 
  3.630780e+04  -1.538177e-01  -1.323800e+02 
  3.715352e+04  -4.508965e-01  -1.344314e+02 
  3.801894e+04  -6.023974e-01  -1.350983e+02 
  3.890452e+04  -7.712707e-01  -1.368297e+02 
  3.981072e+04  -1.101268e+00  -1.387525e+02 
  4.073803e+04  -1.221273e+00  -1.403244e+02 
  4.168694e+04  -1.460404e+00  -1.415080e+02 
  4.265795e+04  -1.657294e+00  -1.429910e+02 
  4.365158e+04  -1.848801e+00  -1.442169e+02 
  4.466836e+04  -2.083918e+00  -1.463800e+02 
  4.570882e+04  -2.228256e+00  -1.470540e+02 
  4.677352e+04  -2.507247e+00  -1.490335e+02 
  4.786301e+04  -2.712574e+00  -1.500809e+02 
  4.897788e+04  -2.816278e+00  -1.525192e+02 
  5.011872e+04  -3.075227e+00  -1.545874e+02 
  5.128614e+04  -3.357039e+00  -1.557816e+02 
  5.248075e+04  -3.553352e+00  -1.582371e+02 
  5.370318e+04  -3.843814e+00  -1.596560e+02 
  5.495409e+04  -3.948220e+00  -1.600512e+02 
  5.623413e+04  -4.359950e+00  -1.637870e+02 
  5.754399e+04  -4.685739e+00  -1.661405e+02 
  5.888437e+04  -4.696546e+00  -1.670824e+02 
  6.025596e+04  -4.904038e+00  -1.693449e+02 
  6.165950e+04  -5.143875e+00  -1.715181e+02 
  6.309573e+04  -5.532573e+00  -1.731605e+02 
  6.456542e+04  -5.886846e+00  -1.746989e+02 
  6.606934e+04  -5.995219e+00  -1.761941e+02 
  6.760830e+04  -6.140538e+00  -1.783191e+02 
  6.918309e+04  -6.403603e+00   1.797878e+02 
  7.079458e+04  -6.659203e+00   1.780505e+02 
  7.244359e+04  -7.015414e+00   1.760988e+02 
  7.413102e+04  -7.064461e+00   1.745229e+02 
  7.585776e+04  -7.306075e+00   1.735097e+02 
  7.762471e+04  -7.723349e+00   1.722161e+02 
  7.943282e+04  -7.615611e+00   1.704082e+02 
  8.128305e+04  -7.384483e+00   1.667178e+02 
  8.317638e+04  -8.035328e+00   1.637103e+02 
  8.511380e+04  -8.016429e+00   1.629492e+02 
  8.709636e+04  -8.124879e+00   1.619152e+02 
  8.912509e+04  -8.697087e+00   1.571849e+02 
  9.120109e+04  -8.475992e+00   1.576082e+02 
  9.332543e+04  -8.456342e+00   1.528457e+02 
  9.549926e+04  -9.196498e+00   1.507397e+02 
  9.772372e+04  -8.917710e+00   1.475600e+02 
  1.000000e+05  -8.807050e+00   1.451156e+02 
