#Format: frequency (Hz)  ratio (dB)  phase (deg)
      4281.9      -205.79      -135.66
      4321.5      -205.72       -132.1
      4361.5      -205.65      -128.51
      4401.9      -205.58      -124.88
      4442.7      -205.52      -121.22
      4483.9      -205.45       -117.5
      4525.4      -205.39      -113.73
      4567.3      -205.33      -109.91
      4609.6      -205.27      -106.03
      4652.3      -205.21      -102.08
      4695.4      -205.15     -98.0571
      4738.9       -205.1     -93.9622
      4782.8      -205.04     -89.7882
      4827.1      -204.98     -85.5323
      4871.8      -204.93     -81.1898
      4916.9      -204.87     -76.7609
      4962.4      -204.81     -72.2431
      5008.4      -204.74     -67.6331
      5054.8      -204.67     -62.9331
      5101.6       -204.6      -58.142
      5148.9      -204.53      -53.261
      5196.6      -204.44       -48.29
      5244.7      -204.36      -43.232
      5293.3      -204.26      -38.088
      5342.3      -204.16      -32.859
      5391.8      -204.05      -27.546
      5441.7      -203.94      -22.151
      5492.1      -203.82      -16.674
        5543      -203.69      -11.117
      5594.3      -203.56      -5.4791
      5646.1      -203.42      0.23948
      5698.4      -203.27      6.04173
      5751.2      -203.12       11.928
      5804.5      -202.96       17.901
      5858.2       -202.8       23.965
      5912.5      -202.63       30.123
      5967.3      -202.46       36.381
      6022.5      -202.28       42.746
      6078.3       -202.1       49.227
      6134.6      -201.91       55.837
      6191.4      -201.72      62.5899
      6248.8      -201.51       69.486
      6306.7       -201.3      76.4263
      6365.1      -201.08      83.5069
        6424      -200.87      90.7359
      6483.5      -200.65      98.1179
      6543.6      -200.43       105.67
      6604.2      -200.22       113.42
      6665.4      -200.01       121.39
      6727.1       -199.8       129.63
      6789.4      -199.61       138.19
      6852.3      -199.44       147.18
      6915.8      -199.27       156.68
      6979.8      -199.13       166.83
      7044.5      -198.99       177.87
      7109.7      -198.85      -169.91
      7175.6      -198.66      -156.21
        7242      -198.34      -140.65
      7309.1      -197.76       -123.1
      7376.8      -196.76      -103.94
      7445.1       -195.2      -84.305
      7514.1       -193.1     -65.6529
      7583.7      -190.56          -49
      7653.9      -187.73      -34.657
      7724.8      -184.68      -22.498
      7796.4      -181.43      -12.321
      7868.6      -177.96       -4.076
      7941.4      -174.17       1.9203
        8015      -169.89       4.5149
      8089.2      -164.91      0.18069
      8164.2       -159.7       -21.12
      8239.8      -158.17      -60.317
      8316.1      -160.13     -81.4219
      8393.1      -161.78     -86.8163
      8470.9      -162.72     -86.3149
      8549.3      -163.15     -83.4313
      8628.5      -163.22     -79.4652
      8708.4      -163.04     -74.9859
      8789.1      -162.67     -70.2847
      8870.5      -162.15      -65.528
      8952.7      -161.51     -60.8281
      9035.6      -160.77      -56.272
      9119.3      -159.94      -51.933
      9203.7      -159.03      -47.887
        9289      -158.06       -44.21
        9375      -157.05      -40.986
      9461.9      -155.99      -38.308
      9549.5      -154.91      -36.272
      9637.9      -153.84      -34.963
      9727.2      -152.81      -34.438
      9817.3      -151.86      -34.685
      9908.2      -151.04      -35.588
       10000      -150.38      -36.902

