#Format: frequency (Hz)  ratio (dB)  phase (deg)
      6.1488      -130.09      -130.36
      6.2057      -130.92      -136.17
      6.2632      -131.82      -140.83
      6.3212      -132.75      -144.45
      6.3798      -133.67      -147.18
      6.4389      -134.57      -149.16
      6.4985      -135.43      -150.53
      6.5587      -136.25      -151.42
      6.6194      -137.03       -151.9
      6.6807      -137.76      -152.05
      6.7426      -138.46      -151.94
      6.8051      -139.12      -151.61
      6.8681      -139.74       -151.1
      6.9317      -140.33      -150.43
      6.9959      -140.88      -149.64
      7.0607       -141.4      -148.74
      7.1261      -141.89      -147.76
      7.1921      -142.35      -146.69
      7.2587      -142.78      -145.57
       7.326      -143.19      -144.39
      7.3938      -143.57      -143.18
      7.4623      -143.92      -141.93
      7.5314      -144.24      -140.65
      7.6012      -144.55      -139.35
      7.6716      -144.82      -138.04
      7.7426      -145.07      -136.72
      7.8144       -145.3       -135.4
      7.8867       -145.5      -134.08
      7.9598      -145.68      -132.78
      8.0335      -145.83      -131.49
      8.1079      -145.96      -130.23
       8.183      -146.06         -129
      8.2588      -146.13      -127.81
      8.3353      -146.17      -126.66
      8.4125      -146.18      -125.58
      8.4904      -146.17      -124.57
      8.5691      -146.12      -123.64
      8.6484      -146.03      -122.82
      8.7285      -145.92      -122.11
      8.8094      -145.76      -121.56
       8.891      -145.57      -121.18
      8.9733      -145.33      -121.01
      9.0564      -145.06       -121.1
      9.1403      -144.74       -121.5
       9.225      -144.37      -122.29
      9.3104      -143.96      -123.56
      9.3966      -143.51      -125.41
      9.4837      -143.03      -127.99
      9.5715      -142.54      -131.43
      9.6602      -142.07       -135.9
      9.7497      -141.65      -141.48
      9.8399      -141.37      -148.16
      9.9311      -141.27      -155.73
      10.023      -141.41      -163.71
      10.116       -141.8      -171.51
       10.21      -142.41      -178.57
      10.304      -143.17       175.46
        10.4      -144.01        170.7
      10.496      -144.88       167.11
      10.593      -145.74       164.58
      10.691      -146.56       162.98
       10.79      -147.31       162.21
       10.89      -147.98       162.19
      10.991      -148.55       162.87
      11.093      -148.99       164.23
      11.196      -149.27       166.28
      11.299      -149.32       169.03
      11.404      -149.04       172.45
       11.51      -148.25        176.3
      11.616      -146.62       179.73
      11.724      -143.43       179.46
      11.832      -137.35       155.55
      11.942      -139.64      81.4351
      12.053      -146.26      67.2538
      12.164      -150.21       68.296
      12.277      -152.84      71.8231
      12.391      -154.75      75.4689
      12.505      -156.22      78.6327
      12.621      -157.44      81.1938
      12.738      -158.48        83.19
      12.856      -159.42      84.7038
      12.975      -160.29      85.8251
      13.095      -161.11      86.6398
      13.217       -161.9      87.2219
      13.339      -162.68      87.6368
      13.463      -163.45      87.9393
      13.587      -164.21      88.1748
      13.713      -164.97      88.3839
       13.84      -165.72      88.5988
      13.968      -166.48      88.8463
      14.098      -167.23      89.1482
      14.228      -167.97      89.5218
       14.36      -168.72      89.9847
      14.493      -169.46      90.5491
      14.627      -170.19       91.224
      14.763      -170.91      92.0227
        14.9      -171.63      92.9538
      15.038      -172.33      94.0292
      15.177      -173.02      95.2588
      15.317      -173.69      96.6608
      15.459      -174.34      98.2531
      15.602      -174.96       100.06
      15.747      -175.56        102.1
      15.893      -176.11       104.42
       16.04      -176.62       107.06
      16.189      -177.05       110.08
      16.338      -177.39       113.54
       16.49       -177.6       117.52
      16.643      -177.61       122.07
      16.797      -177.31       127.19
      16.952      -176.53        132.7
      17.109      -174.93       137.77
      17.268      -171.77       139.11
      17.428      -165.75       116.71
      17.589      -168.16       44.328
      17.752      -174.84       31.999
      17.916      -178.88       34.853
      18.082      -181.59       40.231
       18.25      -183.58        45.78
      18.419      -185.14       50.895
       18.59      -186.43       55.447
      18.762      -187.55      59.4639
      18.936      -188.55      63.0219
      19.111      -189.47      66.1978
      19.288      -190.34      69.0632
      19.467      -191.17       71.681
      19.647      -191.98      74.1012
      19.829      -192.77      76.3678
      20.012      -193.54      78.5199
      20.198       -194.3      80.5871
      20.385      -195.06      82.5919
      20.574      -195.82      84.5611
      20.764      -196.57      86.5132
      20.957      -197.32       88.463
      21.151      -198.06      90.4271
      21.347      -198.81      92.4158
      21.544      -199.55      94.4429
      21.744       -200.3       96.517
      21.945      -201.04      98.6461
      22.149      -201.78       100.84
      22.354      -202.51        103.1
      22.561      -203.25       105.43
       22.77      -203.97       107.84
      22.981       -204.7       110.32
      23.194      -205.41        112.9
      23.408      -206.12       115.55
      23.625      -206.82       118.29
      23.844      -207.51       121.12
      24.065       -208.2       124.03
      24.288      -208.87       127.03
      24.513      -209.53        130.1
       24.74      -210.18       133.26
      24.969      -210.81       136.49
        25.2      -211.43       139.79
      25.433      -212.04       143.17
      25.669      -212.63        146.6
      25.907       -213.2       150.09
      26.147      -213.76       153.63
      26.389       -214.3       157.22
      26.633      -214.82       160.84
       26.88      -215.32        164.5
      27.129      -215.81       168.18
       27.38      -216.28       171.87
      27.634      -216.73       175.57
       27.89      -217.16       179.28
      28.148      -217.58      -177.02
      28.409      -217.98      -173.33
      28.672      -218.36      -169.66
      28.938      -218.72      -166.01
      29.206      -219.07      -162.39
      29.476      -219.41       -158.8
      29.749      -219.73      -155.24
      30.025      -220.04      -151.73
      30.303      -220.34      -148.25
      30.583      -220.62      -144.82
      30.867       -220.9      -141.43
      31.152      -221.16      -138.09
      31.441      -221.41       -134.8
      31.732      -221.66      -131.56
      32.026       -221.9      -128.36
      32.323      -222.12      -125.21
      32.622      -222.34      -122.11
      32.924      -222.56      -119.05
      33.229      -222.77      -116.04
