#Format: frequency (Hz)  ratio (dB)  phase (deg)
     6.03644     -121.706    -0.508501
     6.09235     -122.343      -9.1974
     6.14878     -123.188      -17.015
     6.20573     -124.172     -23.7198
     6.26321     -125.235     -29.2811
     6.32122     -126.328     -33.7958
     6.37977     -127.421     -37.4118
     6.43886     -128.494     -40.2815
      6.4985     -129.537      -42.541
     6.55869     -130.547     -44.3041
     6.61943      -131.52     -45.6627
     6.68074     -132.458     -46.6903
     6.74262     -133.363     -47.4452
     6.80507     -134.235     -47.9737
      6.8681     -135.076     -48.3128
     6.93172      -135.89     -48.4921
     6.99592     -136.678     -48.5358
     7.06072     -137.441     -48.4634
     7.12612     -138.181     -48.2909
     7.19212       -138.9     -48.0316
     7.25873       -139.6     -47.6966
     7.32597      -140.28     -47.2952
     7.39382     -140.944      -46.835
      7.4623     -141.591     -46.3229
     7.53142     -142.222     -45.7643
     7.60118     -142.839     -45.1643
     7.67158     -143.442     -44.5269
     7.74264     -144.031      -43.856
     7.81435     -144.608     -43.1546
     7.88673     -145.173     -42.4257
     7.95978     -145.726     -41.6717
      8.0335     -146.268     -40.8948
     8.10791       -146.8     -40.0971
     8.18301      -147.32     -39.2804
      8.2588     -147.831     -38.4463
     8.33529     -148.332     -37.5966
      8.4125     -148.823     -36.7324
     8.49042     -149.304     -35.8554
     8.56906     -149.777     -34.9666
     8.64842      -150.24     -34.0675
     8.72853     -150.694     -33.1591
     8.80937      -151.14     -32.2428
     8.89097     -151.576     -31.3196
     8.97332     -152.004     -30.3908
     9.05643     -152.423     -29.4575
     9.14031     -152.834     -28.5209
     9.22497     -153.236     -27.5821
     9.31041     -153.629     -26.6424
     9.39665     -154.014     -25.7027
     9.48368      -154.39     -24.7643
     9.57152     -154.757     -23.8281
     9.66017     -155.116     -22.8948
     9.74965     -155.467      -21.965
     9.83995     -155.809     -21.0391
     9.93109     -156.143     -20.1167
     10.0231     -156.468     -19.1968
     10.1159     -156.785     -18.2775
     10.2096     -157.093     -17.3553
     10.3042     -157.393     -16.4247
     10.3996     -157.685     -15.4776
     10.4959     -157.968     -14.5017
     10.5931     -158.242     -13.4795
     10.6913     -158.505     -12.3858
     10.7903     -158.756     -11.1848
     10.8902      -158.99     -9.82531
     10.9911     -159.201     -8.23489
     11.0929     -159.376     -6.31004
     11.1956     -159.495     -3.90295
     11.2993     -159.518    -0.802439
      11.404     -159.371      3.28825
     11.5096     -158.908      8.76356
     11.6162     -157.821      16.0535
     11.7238     -155.371       25.219
     11.8324     -149.046      33.1292
      11.942     -142.507     -101.439
     12.0526     -154.942     -103.607
     12.1642     -159.566     -93.7875
     12.2769      -162.19     -85.2292
     12.3906      -163.96     -78.4528
     12.5054     -165.312     -73.0888
     12.6212     -166.441     -68.7057
     12.7381     -167.444     -64.9614
     12.8561     -168.372      -61.605
     12.9752     -169.251     -58.4583
     13.0954     -170.093     -55.3948
     13.2166     -170.908     -52.3212
     13.3391     -171.697     -49.1693
     13.4626     -172.462     -45.8869
     13.5873     -173.201     -42.4326
     13.7131     -173.913     -38.7724
     13.8402     -174.594     -34.8764
     13.9684     -175.241     -30.7173
     14.0977     -175.849     -26.2687
     14.2283     -176.411     -21.5038
     14.3601     -176.921     -16.3951
     14.4931     -177.368     -10.9131
     14.6273      -177.74     -5.02701
     14.7628     -178.022      1.29586
     14.8996     -178.194      8.08873
     15.0376     -178.227      15.3834
     15.1768     -178.086      23.2066
     15.3174     -177.718      31.5718
     15.4593     -177.046      40.4635
     15.6025     -175.948      49.7979
      15.747     -174.206      59.3109
     15.8928     -171.367      68.1144
       16.04     -166.165       71.818
     16.1886     -156.784      13.8133
     16.3385     -166.716     -40.7021
     16.4899     -172.211     -32.7832
     16.6426     -175.159     -16.7577
     16.7967       -176.6      3.94452
     16.9523     -176.572      29.8753
     17.1093     -174.339      62.8489
     17.2678     -167.361      104.013
     17.4277     -140.441      108.167
     17.5892     -142.668     -68.6381
     17.7521     -159.917      158.081
     17.9165     -172.912     -159.837
     18.0824     -177.403     -122.672
     18.2499     -178.421     -94.0086
      18.419     -176.982     -73.1266
     18.5896     -172.016     -65.4948
     18.7617      -167.35     -147.934
     18.9355     -178.077     -171.001
     19.1109     -183.776     -162.857
     19.2879     -187.551     -151.788
     19.4666     -190.356      -140.46
     19.6469     -192.565     -129.458
     19.8288     -194.364     -118.954
     20.0125     -195.864     -108.999
     20.1979     -197.137     -99.5944
     20.3849     -198.233     -90.7204
     20.5737     -199.188     -82.3484
     20.7643      -200.03      -74.445
     20.9566      -200.78     -66.9742
     21.1507     -201.455     -59.9004
     21.3466     -202.066     -53.1898
     21.5443     -202.626     -46.8111
     21.7439     -203.142     -40.7345
     21.9453      -203.62      -34.933
     22.1486     -204.068     -29.3822
     22.3537     -204.488     -24.0598
     22.5607     -204.885     -18.9457
     22.7697     -205.261     -14.0216
     22.9806      -205.62      -9.2712
     23.1935     -205.964     -4.67944
     23.4083     -206.294     -0.23275
     23.6251     -206.612      4.08127
     23.8439      -206.92      8.27403
     24.0648     -207.218      12.3559
     24.2876     -207.507      16.3367
     24.5126     -207.789      20.2253
     24.7396     -208.064      24.0303
     24.9688     -208.332      27.7597
     25.2001     -208.595      31.4211
     25.4335     -208.852      35.0216
      25.669     -209.105      38.5685
     25.9068     -209.352      42.0686
     26.1467     -209.596      45.5287
     26.3889     -209.835      48.9556
     26.6333     -210.069      52.3561
       26.88       -210.3      55.7371
